https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1650412800000.0,2022-04-20 00:00:00,LTC/USD,113.77,114.435,110.715,111.9,138606.90453932082,15510112.61795
1650326400000.0,2022-04-19 00:00:00,LTC/USD,111.29,114.16,110.62,113.77,134297.18783510593,15278991.06
1650240000000.0,2022-04-18 00:00:00,LTC/USD,108.815,111.495,105.315,111.29,173795.29232455746,19341678.0828
1650153600000.0,2022-04-17 00:00:00,LTC/USD,114.37,115.16,108.3,108.815,127796.86748012682,13906216.13485
1650067200000.0,2022-04-16 00:00:00,LTC/USD,110.96,114.92,110.205,114.37,94117.14513814812,10764177.88945
1649980800000.0,2022-04-15 00:00:00,LTC/USD,107.395,112.85,107.085,110.96,114075.08088229994,12657770.9747
1649894400000.0,2022-04-14 00:00:00,LTC/USD,110.55,112.32,106.0,107.395,101397.95019041856,10889632.8607
1649808000000.0,2022-04-13 00:00:00,LTC/USD,104.865,110.81,103.92,110.55,120969.97886883763,13373231.16395
1649721600000.0,2022-04-12 00:00:00,LTC/USD,102.495,105.765,101.76,104.865,116231.93345396462,12188661.70165
1649635200000.0,2022-04-11 00:00:00,LTC/USD,110.305,110.58,101.95,102.495,178735.98274501195,18319544.55145
1649548800000.0,2022-04-10 00:00:00,LTC/USD,112.725,114.475,110.005,110.305,105015.8532781832,11583773.69585
1649462400000.0,2022-04-09 00:00:00,LTC/USD,110.73,112.975,110.035,112.725,95287.71443468619,10741307.60965
1649376000000.0,2022-04-08 00:00:00,LTC/USD,114.04,115.27,109.59,110.73,165192.4533405581,18291760.3584
1649289600000.0,2022-04-07 00:00:00,LTC/USD,111.735,114.98,110.11,114.04,105531.77159724658,12034843.23295
1649203200000.0,2022-04-06 00:00:00,LTC/USD,122.76,123.185,111.39,111.735,195253.03183246072,21816597.5118
1649116800000.0,2022-04-05 00:00:00,LTC/USD,124.785,127.36,122.605,122.76,139791.5198912512,17160806.98185
1649030400000.0,2022-04-04 00:00:00,LTC/USD,128.865,128.97,121.22,124.785,188159.16172496695,23479440.99585
1648944000000.0,2022-04-03 00:00:00,LTC/USD,124.93,129.61,123.745,128.865,144781.71010204474,18657295.0723
1648857600000.0,2022-04-02 00:00:00,LTC/USD,124.83,128.37,123.72,124.93,163387.11074201553,20411951.745
1648771200000.0,2022-04-01 00:00:00,LTC/USD,123.915,126.445,119.06,124.83,139076.2324457262,17360886.0962
